CSS162	PROG METHODOLOGY	(NW,QSR)
	10771 A	5	M,W	1745-1945	UW2 141	OLSON,CLARK F	18/32
			W	2000-2205	UW2 105	OLSON,CLARK F	
CSS198	SUPERVISED STUDY
	10773 A	5		to be arranged			0/20
	10774 B	5		to be arranged			4/20
CSS199	COMPUTING RESEARCH
	10775 A	5		to be arranged			0/20
	10776 B	5		to be arranged			0/20
CSS497	COOPERATIVE EDUC
	10777 A	10		to be arranged			0/20
	10778 B	10		to be arranged			0/20
	10779 C	10		to be arranged			3/5
	10780 D	10		to be arranged			3/5
	10781 E	10		to be arranged			0/5
	10782 F	10		to be arranged			9/5
	10783 G	10		to be arranged			0/5
	10784 H	10		to be arranged			0/5
	10785 I	10		to be arranged			0/5
	10786 J	10		to be arranged			4/5
	10787 K	10		to be arranged			0/5
	10788 L	10		to be arranged			2/5
	10789 M	10		to be arranged			0/5
	10790 N	10		to be arranged			6/5
	13722 O	10		to be arranged	*	*	2/5
	13723 P	10		to be arranged	*	*	0/5
	13724 Q	10		to be arranged	*	*	0/5
	13725 R	10		to be arranged	*	*	0/5
	13726 S	10		to be arranged	*	*	1/5
	13727 T	10		to be arranged	*	*	1/5
CSS498	INDEPENDENT STUDY
	10791 A	5		to be arranged			0/20
	10792 B	5		to be arranged			7/20
CSS499	UNDERGRAD RESEARCH
	10793 A	5		to be arranged			2/20
	10794 B	5		to be arranged			0/20
CSS577	SECURE SOFTWARE DEV
	13977 B	5	M,W	1745-1950	UW1 210	KOCHANSKI,MARK	1/2
CSS503	SOFT ENGR METHODS
	13649 A	5	T,Th	1745-1950	UW1 010	KOCHANSKI,MARK	9/30
CSS577	SECURE SOFTWARE DEV
	13650 A	5	M,W	1745-1950	UW1 210	ENDICOTT,BARBARA E.	8/30
CSS600	INDEPDNT STDY/RSCH
	13720 A	5		to be arranged	*	*	2/20
	13721 B	5		to be arranged	*	*	1/20
