CSS107	PROG-ANIMATED STORY
	12886 A	5	T,Th	1315-1513	UW1 210	GUNNERSON,KIM N.	43/45
CSS161	FUND OF COMPUTING
	12887 A	5	M,W	1530-1730	UW2 141	BENITEZ,JOSEPH P.	40/45
	12888 B	5	M,W	1100-1300	UW1 210	THAMILARASU,GEETHAPRIYA	41/45
	12889 C	5	M,W	845-1045	UW1 121	KIM,JEFFREY Y.	20/30
CSS162	PROG METHODOLOGY
	12890 A	5	T,Th	1100-1300	UWBB 230	STARK,MICHAEL M	21/45
	12891 B	5	M,W	1745-1945	UW1 020	NASH,ROB D	33/45
CSS198	SUPERVISED STUDY
	12892 A	5		to be arranged			0/40
	12893 B	5		to be arranged			2/40
CSS199	COMPUTING RESEARCH
	12894 A	5		to be arranged			0/40
	12895 B	5		to be arranged			0/40
CSS301	TECHNICAL WRITING
	12896 A	5	M,W	1530-1730	UW2 305	ANDERSON,LAURIE JOY	28/30
	12897 B	5	T,Th	1315-1513	UW2 305	KOOL,NANCY L	28/30
	12898 C	5	M,W	1745-1945	UW1 121	KOOL,NANCY L	27/30
CSS332	PROG W/OO LANGS
	12899 A	2	F	115-515	UW1 051	STIBER,MICHAEL D	40/45
CSS337	SECURE SYSTEMS
	12900 A	5	M,W	1315-1513	UW2 240	LAGESSE,BRENT J	41/45
CSS342	DATA, ALG, MATH I
	12901 A	5	M,W	1745-1945	UW1 102	SHIELDS,ROBERT C	39/45
	12902 B	5	M,W	2000-2200	UW1 210	SHIELDS,ROBERT C	11/45
CSS343	DATA, ALG, MATH II
	12903 A	5	M,W	1530-1730	UW1 020	STARK,MICHAEL M	33/40
	12904 B	5	M,W	2000-2200	UW2 005	ZANDER,CAROL	54/64
CSS350	MGT PRINCIPLES
	12906 A	5	T,Th	1530-1730	UW1 020	KOCHANSKI,MARK	29/45
	12907 B	5	T,Th	1315-1513	UW1 221	KIM,JEFFREY Y.	46/45
CSS360	SOFTWARE ENGR
	12908 A	5	T,Th	1530-1730	UW1 221	ASUNCION,HAZELINE U	36/40
	12909 B	5	T,Th	2000-2200	UW1 050	SHIELDS,ROBERT C	9/40
CSS370	ANALYSIS AND DESIGN
	12910 A	5	M,W	1315-1513	UW1 041	KOCHANSKI,MARK	30/45
	12911 B	5	T,Th	1745-1945	UW1 220	RAZMOV,VALENTIN N.	50/45
CSS390	SPECIAL TOPICS
	20858 A	5	T,Th	1745-1945	UW1 110	BERNSTEIN,MORRIS	30/45
CSS421	CMPT HW & O/S	(NW)
	12912 A	5	T,Th	1745-1945	UW2 327	ANDERSON,LAURIE JOY	11/15
CSS422	HARDWARE & COMP ORG
	12913 A	5	T,Th	1530-1730	UW1 210	KIM,WOOYOUNG	41/45
CSS428	ADV EMBEDDED SYST
	12914 A	5	M,W	1745-1945	UW2 040	FOLSOM,TYLER C.	3/30
CSS430	OPERATING SYSTEMS
	12915 A	5	M,W	1530-1730	UW2 131	SUNG,KELVIN H.	41/45
CSS451	3-D COMPUTER GRAPHIC
	12916 A	5	T,Th	1530-1730	UW1 110	STARK,MICHAEL M	7/45
CSS475	DATABASE SYSTEMS
	12918 A	5	M,W	1315-1513	UW1 050	OLSON,CLARK F	28/40
CSS480	HUMAN-COMP INTERACT
	12919 A	5	M,W	1745-1945	UW1 051	ERDLY,WILLIAM W	46/45
CSS487	COMPUTER VISION
	12920 A	5	M,W	1530-1730	UW1 210	OLSON,CLARK F	9/45
CSS490	SPECIAL TOPICS
	12922 B	5	M,W	1530-1730	LBA 003	THAMILARASU,GEETHAPRIYA	12/30
	12923 C	5	M,W	2000-2200	UW1 102	ZIMMERMAN,TERRY L	33/45
CSS497	COOPERATIVE EDUC
	12924 A	10		to be arranged			2/40
	12925 B	10		to be arranged			37/40
CSS498	INDEPENDENT STUDY
	12926 A	5		to be arranged			1/40
	12927 B	5		to be arranged			8/40
CSS499	UNDERGRAD RESEARCH
	12928 A	5		to be arranged			2/40
	12929 B	5		to be arranged			4/40
CSSSKL161	PROGRAMMING SKILLS
	12940 A	1	F	845-1115	UW1 110	GALLANT,AARON M	38/45
	12941 B	1	F	1130-200	UW1 110	GALLANT,AARON M	42/45
	12942 C	1	F	1130-200	UW2 105	NASH,ROB D	21/30
CSSSKL162	PROG METHOD SKILLS	(QSR)
	12943 A	1	F	215-445	UW1 110	NASH,ROB D	23/45
	12944 B	1	T	1745-2015	UW1 210	NASH,ROB D	31/45
CSS502	DATA STRUC & OOP II
	12930 A	4	M,W	1800-1940	UW1 110	ZANDER,CAROL	27/45
CSS507	SOFTWARE MODELING
	12931 A	2	M	2000-2200	UW1 110	BRECHNER,ERIC L.	27/45
CSS533	DISTRIBUTED COMP
	20716 A	5	T,Th	1745-1945	UW2 031	FUKUDA,MUNEHIRO	22/36
CSS572	EVID-BASED DESIGN
	12933 A	5	M,W	1745-1945	LBA 003	SOCHA,DAVID G	11/30
CSS577	SECURE SOFTWARE DEV
	12934 A	5	T,Th	1745-1945	LBA 003	KOCHANSKI,MARK	17/30
CSS581	MACHINE LEARNING
	12935 A	5	T,Th	2000-2200	UW1 040	HOWBERT,JAMES JEFFRY	12/45
CSS595	CAPSTONE PROJECT I
	12936 A	5	M,W	2000-2200	UW1 060	SOCHA,DAVID G	7/30
CSS600	INDEPDNT STDY/RSCH
	12937 A	5		to be arranged			0/20
	12938 B	5		to be arranged			1/20
CSS700	MASTERS THESIS
	12939 A	10		to be arranged			4/20
