CSS107	PROG-ANIMATED STORY	(VLPA,QSR)
	14111 A	5	T,Th	900-1130	UW1 010	GUNNERSON,KIM N.	9/45
CSS161	FUND OF COMPUTING	(NW,QSR)
	10969 A	5	M,W	1430-1700	UW2 141	FERRACINA,FABIANA	19/45
CSS162	PROG METHODOLOGY	(NW,QSR)
	10970 A	5	M,W	1800-2030	UW1 210	NASH,ROB D	23/45
CSS198	SUPERVISED STUDY
	10971 A	5		to be arranged			0/20
	10972 B	5		to be arranged			1/20
CSS199	COMPUTING RESEARCH
	10973 A	5		to be arranged			0/20
	10974 B	5		to be arranged			0/20
CSS301	TECHNICAL WRITING
	10976 A	5	M,W	900-1130	SSG CNSVTRY	KOOL,NANCY L	23/30
CSS390	SPECIAL TOPICS
	14180 A	5	T,Th	1300-1720	UW2 240	SUNG,KELVIN H.	16/45
CSS475	DATABASE SYSTEMS
	10977 A	5	T	1800-2030	UW2 141	KOCHANSKI,MARK	52/55
CSS478	USABILITY ENGR
	14192 A	5	M,W	1300-1720	UW1 220	ROBISON,DAVID F.	30/45
CSS490	SPECIAL TOPICS
	14110 B	5	M,W	1430-1700P	UW1 210	CHEN,MIN	10/45
CSS497	CS & SE CAPSTONE
	10978 A	10		to be arranged			2/20
	10979 B	10		to be arranged			13/20
	10980 C	10		to be arranged			0/5
	10981 D	10		to be arranged			16/5
	10982 E	10		to be arranged			1/5
	10983 F	10		to be arranged			9/5
	10984 G	10		to be arranged			0/5
	10985 H	10		to be arranged			3/5
	10986 I	10		to be arranged			0/5
	10987 J	10		to be arranged			1/5
	10988 K	10		to be arranged			0/5
	10989 L	10		to be arranged			3/5
	10990 M	10		to be arranged			0/5
	10991 N	10		to be arranged			4/5
	10992 O	10		to be arranged			0/5
	10993 P	10		to be arranged			10/5
	10994 Q	10		to be arranged			0/5
	10995 R	10		to be arranged			1/5
	10996 S	10		to be arranged			1/5
	10997 T	10		to be arranged			1/5
CSS498	INDEPENDENT STUDY
	10998 A	5		to be arranged			2/20
	10999 B	5		to be arranged			8/20
CSS499	UNDERGRAD RESEARCH
	11000 A	5		to be arranged			0/20
	11001 B	5		to be arranged			4/20
CSSSKL161	PROGRAMMING SKILLS
	11008 A	1	T	1430-1700	UW1 221	FERRACINA,FABIANA	19/45
CSSSKL162	PROG METHOD SKILLS	(QSR)
	11009 A	1	T	1800-2030	UW1 221	NASH,ROB D	23/36
CSSSKL510	SCIENTIFIC WRITING
	14273 A	1	W	1800-2030	UW1 020	ANDERSON,LAURIE JOY	2/15
CSS583	KNOWLEDGE MGT SYS
	14329 A	5	T,Th	1800-2030	UW1 202	ERDLY,WILLIAM W	7/30
CSS595	CAPSTONE PROJECT I
	11004 A	5	M	1800-2030	UW2 040	ERDLY,WILLIAM W	16/30
CSS600	INDEPDNT STDY/RSCH
	11005 A	5		to be arranged			4/20
	11006 B	5		to be arranged			1/20
CSS700	MASTERS THESIS
	11007 A	10		to be arranged			1/20
