CSS107	PROG-ANIMATED STORY	(VLPA,QSR)
	12895 A	5	T,Th	1315-1513	UW2  305	NASH,ROB D	40/40
CSS161	FUND OF COMPUTING	(NW,QSR)
	12896 A	5	M,W	1100-1300	UW2  240	FERRACINA,FABIANA	32/45
	12897 B	5	M,W	1530-1730	UW2  031	NASH,ROB D	33/45
	12898 C	5	M,W	2000-2200 	UW1  051	BENITEZ,JOSEPH P.	29/32
CSS162	PROG METHODOLOGY	(NW,QSR)
	12899 A	5	M,W	1315-1513	UW2  131	RETIK,ARIEH A	38/45
	12900 B	5	M,W	1745-1945	UW1  220	LIN,JOHNNY W	15/45
CSS198	SUPERVISED STUDY
	12901 A	5		to be arranged			1/40
	12902 B	5		to be arranged			0/40
CSS199	COMPUTING RESEARCH
	12904 A	5		to be arranged			0/40
	12905 B	5		to be arranged			0/40
CSS205	WOMEN STEM: COLLEGE	(I&S,DIV)
	12906 A	1	Th	115-205	UW1  110	KOOL,NANCY L	2/10
CSS225	PHYS/CHEM OF COMP	(QSR)
	12907 A	5	T,Th	1530-1730	UW1  021	GUNNERSON,KIM N.	24/30
CSS301	TECHNICAL WRITING
	12908 A	5	T,Th	1315-1513	UW1  220	KOOL,NANCY L	27/30
	12909 B	5	T,Th	1530-1730	UW1  220	ANDERSON,LAURIE JOY	23/30
CSS332	PROG W/OO LANGS
	12910 A	2	F	115-515	DISC 252	STIBER,MICHAEL D	22/60
CSS342	DATA, ALG, MATH I
	12911 A	5	T,Th	1530-1730	UW1  102	KIM,WOOYOUNG	28/48
	20546 B	5	M,W	1745-1945	UW2  240	DIMPSEY,ROBERT T	34/45
CSS343	DATA, ALG, MATH II
	12912 A	5	M,W	1530-1730	UW2  131	ZANDER,CAROL	35/45
CSS350	MGT PRINCIPLES
	12913 A	5	T,Th	1745-1945	UW1  210	KIM,JEFFREY Y.	20/45
CSS360	SOFTWARE ENGR
	12914 A	5	T,Th	1745-1945	UW2  131	RAZMOV,VALENTIN N.	37/45
CSS370	ANALYSIS AND DESIGN
	12915 A	5	M,W	2000-2200 	UW2  131	PHOENIX,MICHAEL	35/45
CSS371	BUSINESS OF TECH
	12916 A	5	T,Th	1315-1513	UW2  141	MOURAD,PIERRE	11/24
	21068 B	5	T,Th	1745-1945	UWBB 230	HAMILTON,NICOLE	12/24
CSS405	WOMEN STEM: CAREER	(I&S,DIV)
	12917 A	1	Th	115-205	UW1  110	KOOL,NANCY L	8/10
CSS411	CMPT & PUB POLICY	(I&S)
	12918 A	5	M,W	1315-1513	UW2  240	KOCHANSKI,MARK	37/40
	12919 B	5	M,W	1315-1513	UW2  240	KOCHANSKI,MARK	1/5
CSS415	TOPICS IN CYERSEC
	21120 A	5	M,W	2000-2200 	UW1  030	KIM,JEFFREY Y.	16/45
CSS422	HARDWARE & COMP ORG
	12920 A	5	M,W	1745-1945	UW1  221	NASH,ROB D	40/45
	12921 B	5	T,Th	1315-1513	UW1  202	KIM,WOOYOUNG	40/45
CSS428	ADV EMBEDDED SYST
	12922 A	5	M,W	1745-1945	DISC 258	FOLSOM,TYLER C.	3/24
	20887 AA	LB	F	230-530	DISC 256	FOLSOM,TYLER C.	3/18
	20888 AB	LB	F	230-530	DISC 258	FOLSOM,TYLER C.	0/18
CSS430	OPERATING SYSTEMS
	12923 A	5	M,W	2000-2200 	UW1  110	DAME,STEPHEN G.	19/45
	12924 B	5	M,W	1530-1730	DISC 162	DIMPSEY,ROBERT T	29/45
CSS432	NETWORK DESIGN
	12925 A	5	T,Th	1745-1945	UW2  141	LAGESSE,BRENT J	43/48
CSS458	COMPUTER SIMULATION
	12926 A	5	M,W	2000-2200 	UW1  202	LIN,JOHNNY W	15/45
CSS473	ENTREPRENEURSHP SEM
	12927 A	5	T,Th	1745-1945	UW1  102	FLEMING,BRANDON	7/20
CSS475	DATABASE SYSTEMS
	12928 A	5	M,W	1530-1730	UW1  110	CHEN,MIN	50/47
CSS480	HUMAN-COMP INTERACT
	12929 A	5	M,W	1745-1945	UW2  141	ROBISON,DAVID F.	51/48
CSS487	COMPUTER VISION
	12930 A	5	M,W	1315-1513	UW2  141	OLSON,CLARK F	43/48
CSS490	SPECIAL TOPICS
	12931 A	5	T,Th	1530-1730	UW2  031	SOCHA,DAVID G	5/38
	12934 D	5	M,W	2000-2200 	UW1  102	CHEN,MIN	11/17
CSS496	APPL CMPT CAPSTONE
	12935 A	5	M,W	1745-1945	UW2  327	ANDERSON,LAURIE JOY	4/10
CSS497	CS & SE CAPSTONE
	20721 A	10		to be arranged			14/40
	20722 B	10		to be arranged			34/40
CSS498	INDEPENDENT STUDY
	20723 A	5		to be arranged			5/40
	20724 B	5		to be arranged			5/40
CSS499	UNDERGRAD RESEARCH
	12936 A	5		to be arranged			2/20E
	12937 B	5		to be arranged			3/20E
CSSSKL161	PROGRAMMING SKILLS
	12949 A	1	F	845-1115	UW1  050	FERRACINA,FABIANA	22/48
	12950 B	1	F	1130-200	UW1  020	FERRACINA,FABIANA	42/48
	12951 C	1	T	545-815P	UW1  010	PHOENIX,MICHAEL	33/48
